product_id,product_name,Category,weather_condition,seasonality,transaction_date,expiration_date,initial_quantity,quality_grade,days_until_expiry,cost_price,base_price,discount_pct,selling_price,units_sold,units_wasted,daily_demand
PRO_BAN_152,Bananas,Fruits,Snowy,Winter,2024-03-13,2024-03-27,81,A,11,2.01,4.06,0,4.06,43,38,4
PRO_AVO_213,Avocados,Fruits,Snowy,Winter,2024-12-13,2024-12-15,380,C,0,1.08,2.44,0.72,0.68,306,74,154
PRO_BAN_899,Bananas,Fruits,Cloudy,Winter,2023-05-25,2023-06-07,328,C,10,3.21,7.72,0.23,5.94,328,0,40
PRO_GRA_726,Grapes,Fruits,Sunny,Winter,2023-12-09,2023-12-12,152,C,0,2.74,4.69,0.64,1.69,106,46,76
PRO_LET_235,Lettuce,Vegetables,Sunny,Winter,2023-11-18,2023-12-01,249,A,10,3.86,7.41,0,7.41,249,0,23
PRO_BAN_153,Bananas,Fruits,Snowy,Winter,2024-12-13,2024-12-24,382,C,8,3.25,6.29,0.16,5.28,267,115,44
PRO_APP_906,Apples,Fruits,Cloudy,Winter,2023-08-11,2023-08-30,499,A,16,1.01,2.27,0,2.27,499,0,34
PRO_GRA_127,Grapes,Fruits,Snowy,Winter,2023-09-23,2023-09-28,226,A,5,5.38,7.93,0,7.93,226,0,66
PRO_BER_512,Berries,Fruits,Snowy,Winter,2023-06-10,2023-06-25,190,B,12,1.81,4.06,0,4.06,190,0,21
PRO_BAN_777,Bananas,Fruits,Sunny,Winter,2024-09-06,2024-09-14,378,B,5,0.82,1.76,0,1.76,247,131,61
PRO_APP_421,Apples,Fruits,Sunny,Winter,2023-09-12,2023-09-23,177,B,9,0.98,1.7,0,1.7,130,47,17
PRO_AVO_187,Avocados,Fruits,Sunny,Winter,2024-08-26,2024-09-08,402,B,11,1.86,2.93,0,2.93,281,121,52
PRO_AVO_444,Avocados,Fruits,Sunny,Winter,2024-09-22,2024-09-28,201,B,4,2.99,6.32,0,6.32,149,52,41
PRO_AVO_234,Avocados,Fruits,Sunny,Winter,2024-06-21,2024-06-27,368,C,5,3.09,5.04,0.2,4.03,257,111,100
PRO_GRA_462,Grapes,Fruits,Cloudy,Winter,2023-08-19,2023-08-26,27,A,4,0.81,1.61,0,1.61,18,9,6
PRO_BAN_833,Bananas,Fruits,Sunny,Winter,2023-05-15,2023-05-19,419,A,3,2.88,4.21,0,4.21,419,0,183
PRO_TOM_998,Tomatoes,Fruits,Snowy,Winter,2024-09-04,2024-09-14,252,A,8,1.55,2.29,0,2.29,252,0,28
PRO_GRA_332,Grapes,Fruits,Cloudy,Winter,2023-07-01,2023-07-20,461,A,16,4.36,7.25,0,7.25,461,0,48
PRO_TOM_934,Tomatoes,Fruits,Cloudy,Winter,2024-05-10,2024-05-21,333,B,10,1.45,3.35,0,3.35,233,100,28
PRO_BAN_959,Bananas,Fruits,Cloudy,Winter,2024-04-14,2024-04-28,423,C,11,2.18,3.79,0.2,3.03,296,127,37
PRO_BAN_396,Bananas,Fruits,Sunny,Winter,2024-09-09,2024-09-18,123,B,6,2.48,4.42,0,4.42,99,24,17
PRO_AVO_572,Avocados,Fruits,Snowy,Winter,2023-07-31,2023-08-15,215,B,12,2.3,4.47,0,4.47,150,65,26
PRO_AVO_108,Avocados,Fruits,Snowy,Winter,2024-09-11,2024-09-14,224,B,1,2.71,4.59,0.14,3.95,132,92,96
PRO_TOM_401,Tomatoes,Fruits,Cloudy,Winter,2023-09-10,2023-09-24,23,A,13,1.24,1.93,0,1.93,15,8,1
PRO_TOM_479,Tomatoes,Fruits,Snowy,Winter,2023-07-25,2023-08-10,57,B,15,1.38,2.12,0,2.12,57,0,4
PRO_GRA_357,Grapes,Fruits,Snowy,Winter,2024-09-10,2024-09-21,424,A,11,4.47,6.73,0,6.73,424,0,50
PRO_BAN_898,Bananas,Fruits,Snowy,Winter,2024-08-27,2024-08-30,354,B,1,1.84,4.34,0.24,3.3,299,55,189
PRO_APP_192,Apples,Fruits,Cloudy,Winter,2024-04-13,2024-04-15,159,C,0,1.48,2.84,0.53,1.33,132,27,80
PRO_GRA_155,Grapes,Fruits,Cloudy,Winter,2024-12-15,2024-12-20,222,B,4,2.39,4.26,0,4.26,178,44,48
PRO_BER_478,Berries,Fruits,Snowy,Winter,2023-10-11,2023-10-23,29,B,12,3.63,7.73,0,7.73,0,29,0
PRO_BER_931,Berries,Fruits,Snowy,Winter,2024-08-11,2024-08-27,323,B,16,1.76,4.29,0,4.29,323,0,39
PRO_APP_141,Apples,Fruits,Snowy,Winter,2023-07-14,2023-07-25,291,B,8,1.57,2.93,0,2.93,291,0,52
PRO_AVO_514,Avocados,Fruits,Cloudy,Winter,2023-07-15,2023-07-29,494,B,11,4.59,7.18,0,7.18,494,0,63
PRO_LET_430,Lettuce,Vegetables,Snowy,Winter,2023-12-04,2023-12-17,193,B,13,2.74,4.08,0,4.08,125,68,10
PRO_AVO_598,Avocados,Fruits,Cloudy,Winter,2024-04-05,2024-04-17,74,A,11,3.16,5.14,0,5.14,74,0,10
PRO_AVO_120,Avocados,Fruits,Sunny,Winter,2024-06-08,2024-06-18,323,C,8,2.38,5.31,0.23,4.09,323,0,63
PRO_BAN_801,Bananas,Fruits,Sunny,Winter,2023-10-03,2023-10-10,410,B,7,0.94,1.77,0,1.77,358,52,70
PRO_AVO_243,Avocados,Fruits,Sunny,Winter,2024-06-16,2024-07-01,416,B,15,0.65,1.47,0,1.47,416,0,57
PRO_BAN_294,Bananas,Fruits,Cloudy,Winter,2023-09-19,2023-09-29,371,B,10,1.71,3.43,0,3.43,271,100,25
PRO_GRA_403,Grapes,Fruits,Cloudy,Winter,2024-07-29,2024-08-06,447,C,8,4.48,7.61,0.24,5.78,447,0,108
PRO_LET_916,Lettuce,Vegetables,Cloudy,Winter,2023-04-13,2023-04-19,454,B,6,2.43,5.03,0,5.03,454,0,102
PRO_AVO_564,Avocados,Fruits,Snowy,Winter,2024-12-16,2024-12-19,222,B,3,1.51,2.31,0,2.31,222,0,67
PRO_LET_403,Lettuce,Vegetables,Snowy,Winter,2024-11-27,2024-12-03,99,A,6,3.9,6.45,0,6.45,99,0,23
PRO_AVO_709,Avocados,Fruits,Sunny,Winter,2023-09-22,2023-10-03,135,B,9,2.26,3.64,0,3.64,132,3,15
PRO_LET_650,Lettuce,Vegetables,Sunny,Winter,2023-03-15,2023-03-22,254,A,5,2.15,4.08,0,4.08,210,44,36
PRO_BAN_959,Bananas,Fruits,Sunny,Winter,2024-05-29,2024-06-10,245,A,11,3.7,6.94,0,6.94,245,0,31
PRO_BAN_178,Bananas,Fruits,Sunny,Winter,2024-06-01,2024-06-10,471,B,7,2.11,4.6,0,4.6,471,0,109
PRO_APP_865,Apples,Fruits,Snowy,Winter,2023-09-05,2023-09-15,485,B,8,4.32,7.91,0,7.91,343,142,48
PRO_BER_899,Berries,Fruits,Snowy,Winter,2024-10-21,2024-10-30,204,B,8,2.16,4.08,0,4.08,90,114,15
PRO_AVO_955,Avocados,Fruits,Snowy,Winter,2023-11-10,2023-11-17,450,A,7,2.41,5.6,0,5.6,300,150,51
PRO_GRA_921,Grapes,Fruits,Snowy,Winter,2023-06-20,2023-06-24,203,B,2,1.46,3.26,0.1,2.93,158,45,75
PRO_BER_798,Berries,Fruits,Snowy,Winter,2023-01-21,2023-02-03,394,B,10,4.78,7.76,0,7.76,316,78,43
PRO_TOM_113,Tomatoes,Fruits,Cloudy,Winter,2024-08-09,2024-08-19,120,B,10,4.43,7.31,0,7.31,108,12,14
PRO_APP_572,Apples,Fruits,Sunny,Winter,2023-03-23,2023-03-31,204,C,6,3.38,4.95,0.16,4.16,142,62,25
PRO_BAN_164,Bananas,Fruits,Cloudy,Winter,2023-02-16,2023-02-24,274,C,7,1.03,1.65,0.25,1.24,253,21,22
PRO_BAN_777,Bananas,Fruits,Cloudy,Winter,2023-05-16,2023-05-29,392,A,11,4.1,7.9,0,7.9,392,0,36
PRO_LET_553,Lettuce,Vegetables,Cloudy,Winter,2024-10-29,2024-11-02,481,B,3,3.3,7.7,0,7.7,230,251,96
PRO_BAN_773,Bananas,Fruits,Cloudy,Winter,2023-01-27,2023-01-29,86,B,0,1.46,2.53,0.69,0.78,60,26,33
PRO_TOM_832,Tomatoes,Fruits,Cloudy,Winter,2024-12-29,2025-01-15,307,A,17,1.21,2.65,0,2.65,268,39,19
PRO_BAN_593,Bananas,Fruits,Cloudy,Winter,2024-05-13,2024-05-17,134,A,2,1.36,3.31,0.18,2.71,83,51,37
PRO_GRA_163,Grapes,Fruits,Sunny,Winter,2024-04-21,2024-04-23,171,A,2,1.13,2.77,0,2.77,171,0,96
PRO_LET_487,Lettuce,Vegetables,Sunny,Winter,2023-02-05,2023-02-10,137,C,3,2.67,5.45,0.16,4.58,95,42,32
PRO_AVO_263,Avocados,Fruits,Cloudy,Winter,2023-01-18,2023-01-24,413,B,3,1.98,4.06,0.18,3.33,187,226,54
PRO_AVO_744,Avocados,Fruits,Snowy,Winter,2024-02-01,2024-02-06,196,A,3,2.01,4.1,0,4.1,93,103,34
PRO_LET_625,Lettuce,Vegetables,Snowy,Winter,2024-07-14,2024-07-20,449,B,6,3.44,6.76,0,6.76,449,0,151
PRO_AVO_310,Avocados,Fruits,Sunny,Winter,2023-06-12,2023-06-15,500,C,1,2.72,5.15,0.37,3.24,500,0,338
PRO_APP_607,Apples,Fruits,Sunny,Winter,2024-07-09,2024-07-28,440,B,17,1.57,2.37,0,2.37,308,132,28
PRO_APP_885,Apples,Fruits,Cloudy,Winter,2023-04-01,2023-04-08,465,C,4,0.87,1.74,0.16,1.46,382,83,95
PRO_AVO_488,Avocados,Fruits,Cloudy,Winter,2023-03-12,2023-03-16,479,A,2,0.9,1.83,0.26,1.35,479,0,162
PRO_BAN_998,Bananas,Fruits,Cloudy,Winter,2024-11-23,2024-12-02,220,C,6,3.51,6.93,0.21,5.47,220,0,36
PRO_AVO_582,Avocados,Fruits,Cloudy,Winter,2024-12-16,2024-12-20,138,B,2,1.9,3.19,0,3.19,117,21,48
PRO_BER_718,Berries,Fruits,Sunny,Winter,2023-09-21,2023-09-30,174,C,7,1.37,2.41,0.18,1.98,121,53,14
PRO_LET_154,Lettuce,Vegetables,Sunny,Winter,2023-06-03,2023-06-08,491,C,3,4.2,6.15,0.15,5.23,343,148,196
PRO_BAN_535,Bananas,Fruits,Cloudy,Winter,2024-07-31,2024-08-11,216,B,8,2.92,7.13,0,7.13,195,21,32
PRO_TOM_170,Tomatoes,Fruits,Snowy,Winter,2024-09-01,2024-09-19,464,A,16,1.67,2.59,0,2.59,464,0,51
PRO_GRA_748,Grapes,Fruits,Snowy,Winter,2023-11-06,2023-11-14,374,A,7,2.65,5.2,0,5.2,282,92,43
PRO_TOM_220,Tomatoes,Fruits,Snowy,Winter,2023-06-14,2023-06-22,485,B,8,1.84,3.25,0,3.25,485,0,118
PRO_BAN_907,Bananas,Fruits,Sunny,Winter,2024-07-26,2024-08-11,314,B,14,0.78,1.63,0,1.63,314,0,26
PRO_BER_721,Berries,Fruits,Sunny,Winter,2023-01-14,2023-01-26,58,B,9,1.45,3.54,0,3.54,39,19,6
PRO_APP_357,Apples,Fruits,Sunny,Winter,2024-05-26,2024-06-03,452,C,5,2.23,5.23,0.22,4.08,452,0,123
PRO_BAN_981,Bananas,Fruits,Sunny,Winter,2023-12-07,2023-12-22,349,B,15,2.79,4.55,0,4.55,349,0,26
PRO_GRA_170,Grapes,Fruits,Snowy,Winter,2024-11-15,2024-12-01,269,A,13,5.11,7.69,0,7.69,216,53,19
PRO_GRA_258,Grapes,Fruits,Snowy,Winter,2023-02-14,2023-02-25,419,B,10,0.91,1.88,0,1.88,280,139,33
PRO_BAN_559,Bananas,Fruits,Snowy,Winter,2023-11-25,2023-12-02,265,B,7,0.85,1.71,0,1.71,265,0,57
PRO_AVO_402,Avocados,Fruits,Snowy,Winter,2023-08-23,2023-08-31,484,A,5,4.76,7.43,0,7.43,338,146,84
PRO_GRA_625,Grapes,Fruits,Sunny,Winter,2024-01-06,2024-01-17,96,C,8,2.46,5.06,0.17,4.2,67,29,8
PRO_BAN_237,Bananas,Fruits,Snowy,Winter,2024-03-05,2024-03-17,373,A,10,4.87,7.08,0,7.08,195,178,22
PRO_AVO_894,Avocados,Fruits,Sunny,Winter,2023-02-28,2023-03-10,314,C,7,3.53,6.62,0.25,4.96,314,0,36
PRO_TOM_962,Tomatoes,Fruits,Cloudy,Winter,2024-10-09,2024-10-17,79,C,7,2.57,4.95,0.23,3.81,73,6,10
PRO_TOM_480,Tomatoes,Fruits,Cloudy,Winter,2023-03-02,2023-03-10,495,B,6,2.55,4.56,0,4.56,298,197,66
PRO_GRA_961,Grapes,Fruits,Cloudy,Winter,2024-07-09,2024-07-25,247,C,16,1.93,4.06,0.22,3.17,214,33,10
PRO_BER_322,Berries,Fruits,Snowy,Winter,2024-08-13,2024-08-18,81,B,2,1.76,4.24,0.24,3.22,81,0,25
PRO_APP_800,Apples,Fruits,Cloudy,Winter,2023-01-05,2023-01-22,359,B,14,1.73,3.86,0,3.86,208,151,16
PRO_BAN_580,Bananas,Fruits,Sunny,Winter,2024-03-06,2024-03-26,411,B,17,2.44,4.46,0,4.46,374,37,23
PRO_LET_779,Lettuce,Vegetables,Sunny,Winter,2024-04-12,2024-04-25,17,B,12,4.47,7.33,0,7.33,11,6,3
PRO_GRA_875,Grapes,Fruits,Sunny,Winter,2023-06-28,2023-07-08,452,A,7,1.3,2.8,0,2.8,344,108,54
PRO_BAN_742,Bananas,Fruits,Sunny,Winter,2024-12-31,2025-01-20,358,B,20,1.12,2.17,0,2.17,358,0,22
PRO_BAN_435,Bananas,Fruits,Sunny,Winter,2023-01-08,2023-01-12,236,B,2,1.29,2.17,0.19,1.76,236,0,96
PRO_GRA_419,Grapes,Fruits,Cloudy,Winter,2023-01-04,2023-01-14,109,B,7,3.64,6.96,0,6.96,45,64,9
PRO_LET_525,Lettuce,Vegetables,Sunny,Winter,2023-02-15,2023-02-17,94,B,0,1.61,2.31,0.6,0.92,91,3,44
PRO_APP_684,Apples,Fruits,Sunny,Winter,2023-07-07,2023-07-14,12,A,6,1.74,3.95,0,3.95,8,4,3
PRO_AVO_912,Avocados,Fruits,Sunny,Winter,2023-11-29,2023-12-04,51,B,4,4.24,6.51,0,6.51,35,16,11
PRO_AVO_500,Avocados,Fruits,Sunny,Winter,2024-03-10,2024-03-22,165,B,10,3.79,5.56,0,5.56,115,50,20
PRO_TOM_313,Tomatoes,Fruits,Snowy,Winter,2024-07-31,2024-08-10,69,B,8,1.49,3.69,0,3.69,50,19,7
PRO_APP_135,Apples,Fruits,Snowy,Winter,2024-12-23,2025-01-08,10,A,14,4.24,7.97,0,7.97,0,10,0
PRO_GRA_951,Grapes,Fruits,Cloudy,Winter,2023-11-14,2023-11-17,121,B,0,3.64,6.73,0.58,2.83,121,0,55
PRO_LET_690,Lettuce,Vegetables,Sunny,Winter,2023-06-24,2023-07-04,337,A,10,2.96,4.64,0,4.64,337,0,71
PRO_BER_402,Berries,Fruits,Snowy,Winter,2023-09-02,2023-09-06,96,B,1,2.22,3.56,0.28,2.56,45,51,35
PRO_GRA_803,Grapes,Fruits,Snowy,Winter,2023-09-14,2023-09-16,472,B,1,3.83,7.36,0.22,5.74,330,142,220
PRO_TOM_848,Tomatoes,Fruits,Cloudy,Winter,2023-07-11,2023-07-15,189,A,1,2.54,5.12,0.28,3.69,97,92,79
PRO_AVO_663,Avocados,Fruits,Snowy,Winter,2023-01-03,2023-01-16,82,A,12,1.98,3.37,0,3.37,82,0,7
PRO_BAN_133,Bananas,Fruits,Snowy,Winter,2024-12-09,2024-12-15,385,A,3,3.01,4.42,0.22,3.45,169,216,54
PRO_TOM_516,Tomatoes,Fruits,Snowy,Winter,2024-04-26,2024-05-03,239,B,4,1.09,2.08,0,2.08,122,117,37
PRO_APP_665,Apples,Fruits,Cloudy,Winter,2023-04-06,2023-04-17,498,B,11,0.74,1.8,0,1.8,407,91,48
PRO_AVO_187,Avocados,Fruits,Cloudy,Winter,2024-06-02,2024-06-19,36,C,16,2.79,5.2,0.23,4,25,11,1
PRO_TOM_219,Tomatoes,Fruits,Snowy,Winter,2024-01-24,2024-01-29,13,B,2,3.51,7.67,0.15,6.52,2,11,1
PRO_BER_926,Berries,Fruits,Snowy,Winter,2024-09-03,2024-09-17,480,B,12,2.49,5.29,0,5.29,336,144,42
PRO_LET_543,Lettuce,Vegetables,Snowy,Winter,2023-10-04,2023-10-20,430,B,15,0.62,1.24,0,1.24,277,153,23
PRO_BER_226,Berries,Fruits,Cloudy,Winter,2023-04-09,2023-04-18,212,A,7,3.26,5.7,0,5.7,212,0,36
PRO_APP_685,Apples,Fruits,Cloudy,Winter,2024-10-08,2024-10-17,460,B,8,3.84,6.68,0,6.68,398,62,62
PRO_LET_824,Lettuce,Vegetables,Cloudy,Winter,2023-04-26,2023-05-12,256,B,16,0.97,1.41,0,1.41,256,0,17
PRO_BER_620,Berries,Fruits,Snowy,Winter,2023-01-01,2023-01-19,271,C,16,1.62,3.15,0.19,2.55,189,82,28
PRO_TOM_921,Tomatoes,Fruits,Snowy,Winter,2023-06-07,2023-06-22,297,B,12,1.28,2.02,0,2.02,297,0,27
PRO_GRA_327,Grapes,Fruits,Sunny,Winter,2024-12-09,2024-12-24,12,B,12,0.99,1.73,0,1.73,0,12,0
PRO_GRA_834,Grapes,Fruits,Sunny,Winter,2023-05-29,2023-06-15,478,A,14,3.2,4.68,0,4.68,334,144,33
PRO_LET_851,Lettuce,Vegetables,Sunny,Winter,2023-09-03,2023-09-19,286,B,14,1.82,2.67,0,2.67,200,86,23
PRO_BER_603,Berries,Fruits,Sunny,Winter,2023-05-18,2023-05-20,168,B,0,3.24,5.22,0.47,2.77,168,0,104
PRO_LET_625,Lettuce,Vegetables,Sunny,Winter,2024-11-16,2024-11-30,298,B,11,3.21,5.99,0,5.99,273,25,33
PRO_BAN_119,Bananas,Fruits,Sunny,Winter,2023-01-13,2023-01-24,32,A,9,3.94,6.4,0,6.4,27,5,3
PRO_LET_225,Lettuce,Vegetables,Sunny,Winter,2023-06-13,2023-06-26,39,B,10,1.27,3.16,0,3.16,32,7,3
PRO_LET_890,Lettuce,Vegetables,Sunny,Winter,2024-12-09,2024-12-20,478,C,11,1.96,3.97,0.22,3.1,478,0,45
PRO_AVO_693,Avocados,Fruits,Sunny,Winter,2023-07-09,2023-07-19,112,C,10,0.56,1.24,0.25,0.93,112,0,17
PRO_GRA_892,Grapes,Fruits,Sunny,Winter,2024-03-07,2024-03-26,163,A,18,0.59,1.3,0,1.3,106,57,5
PRO_APP_398,Apples,Fruits,Sunny,Winter,2023-11-16,2023-12-02,203,A,15,4.2,6.31,0,6.31,179,24,11
PRO_LET_297,Lettuce,Vegetables,Snowy,Winter,2023-12-24,2024-01-11,208,B,16,2.99,6.61,0,6.61,208,0,18
PRO_LET_802,Lettuce,Vegetables,Cloudy,Winter,2024-06-28,2024-07-05,493,B,4,3.31,5.69,0,5.69,408,85,102
PRO_APP_152,Apples,Fruits,Snowy,Winter,2023-09-28,2023-10-14,234,B,15,2.7,4.64,0,4.64,150,84,12
